report_begin,report_end,notifications,stats_date,publish_date,report_url
2024-07-01,2024-12-31,595,2025-02-11,2025-05-13,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-july-to-december-2024
2024-01-01,2024-06-30,527,2024-07-31,2024-09-16,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-january-to-june-2024
2023-07-01,2023-12-31,483,2024-01-30,2024-02-22,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-july-to-december-2023
2023-01-01,2023-06-30,409,2023-08-01,2023-09-05,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-january-to-june-2023
2022-07-01,2022-12-31,497,2023-01-29,2023-03-01,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-july-to-december-2022
2022-01-01,2022-06-30,396,2022-09-30,2022-11-10,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-january-to-june-2022
2021-07-01,2021-12-31,464,2022-01-24,2022-02-22,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-july-to-december-2021
2021-01-01,2021-06-30,446,2021-07-07,2021-08-23,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-januaryjune-2021
2020-07-01,2020-12-31,518,,2020-07-31,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-januaryjune-2020
2020-01-01,2020-06-30,539,2021-01-08,,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-julydecember-2020
2019-07-01,2019-12-31,537,,2020-02-28,https://www.oaic.gov.au/privacy/notifiable-data-breaches/notifiable-data-breaches-publications/notifiable-data-breaches-report-julydecember-2019
